rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-11-org,   lucas, browne, 14, starke street, , montmorency, 6530, wa, , , 02 37170976, 5334205, 1
rec-5-org,   caitlin, haskett, 6, bunbury street, , regents park, 3170, sa, 19680915, 30, 03 32086348, 5419110, 4
rec-1-org,   sean, , 63, tyson street, jodayne, broken hill, 4272, vic, 19990930, 27, 03 37988877, 9588716, 5
rec-10-org,   sam, green, 3, grylls crescent, villa 2, brighton, 7250, , , 11, 03 21144280, 5129736, 9
rec-12-org,   nicholas, nevin, 3, deloraine street, winchester, matraville, 2760, qld, 19210723, 28, 04 49264783, 6395918, 8
rec-18-dup-0, harrison, ryan, 1, ulverstone street, , daylesford, 3028, wa, 19130311, 24, 03 10738267, 3900449, 2
rec-5-dup-0, caitlin, haskett, 6, bunbury drreet, , regents park, 3170, sa, 19680915, 30, 03 32086348, 5419110, 4
rec-6-org,   samuel, chubb, 2, ashby circuit, , rainbow beach, 3173, wa, 19420722, 29, 08 05905468, 5000349, 2
rec-13-dup-0, lowe, bayley, 10, wilkins street, fairholme, berwick, 6107, , 19530109, , 03 93619300, 7648101, 2
rec-16-org,   amalia, coleman, 10, heagney crescent, , emu plains, 2485, qld, 19481008, 29, 03 51384969, 7027326, 0
rec-17-org,   mikayla, rozak, 412, chippindall circuit, , emerald, 4219, act, 19340512, 36, 07 68051852, 7812232, 5
rec-7-dup-0, liam, lavetty, 5089, lyttletone crescent, , nomans lake, 0810, nsw, , 30, 04 42290948, 8332007, 4
rec-13-dup-1, bayley, lowe, 10, wilkins street, fairholme, berwick, 6107, , 19530109, , 03 92629300, 7648101, 2
rec-15-dup-3, kazuki, geramvhty, 100, gooreen street, crookshanks, saddleworth, 6158, vic, 19870518, 35, 08 33195624, 2365977, 9
rec-15-dup-1, kazuki, geraghty, 109, gooreen street, crookshanks, saddleworth, 6158, vic, 19650602, 35, 08 33195624, 2365977, 9
rec-13-org,   bayley, lowe, 10, wilkins street, fairholme, berwick, 6107, , 19530109, , 03 93619300, 7648101, 2
rec-7-org,   liam, laverty, 5089, lyttleton crescent, , nomans lake, 0810, nsw, , 30, 04 42290948, 8332007, 4
rec-3-org,   jasmine, wiseman, 70, cazaly close, lypiatt, bayswater, 2713, vic, 19030926, , 03 97767221, 4671763, 3
rec-9-org,   dylan, shepherd, 14, cockcroft avenue, , linton, 2800, qld, 19230619, , 03 21634220, 8901645, 4
rec-15-org,   kazuki, geraghty, 100, gooreen street, crookshanks, saddleworth, 6158, vic, 19870518, 35, 08 33195624, 2365977, 9
rec-15-dup-2, kazuki, geraghty, 100, gooreen street, crookshanks, saddlewmorth, 6158, vix, 19870518, 35, 08 33195624, 2365977, 9
rec-15-dup-0, kazuki, geraghty, 100, gooreen street, crookshanks, saddleworth, 6108, vic, 19870508, 35, 08 33195624, 2365977, 9
rec-14-org,   kane, clarke, 1, mcarthur place, , burwood, 2259, vic, 19620211, 40, 03 80452215, 5133270, 9
rec-0-org,   dante, statham, 42, krefft street, bombowlee, centennial park, 3109, qld, 19660709, 32, 08 50743057, 1932216, 8
rec-2-org,   emiily, fullgrabe, 2, o'reilly street, sunbury, macquarie fields, 2750, nsw, 19620514, 23, 04 06776948, 7303182, 6
rec-8-org,   finlay, nguyen, 122, hopetoun circuit, , kimbolton, 4109, vic, 19141213, 8, , 1166877, 7
rec-13-dup-2, bayley, lowe, 1, wilkins street, fairholme, berwick, 6107, , , , 03 93619300, 7648101, 2
rec-4-org,   tai, millar, 6, macfarland crescent, mudhill, flemington, 2160, nsw, , , 08 82657328, 3387634, 5
rec-19-org,   lily, mcneill, 7, fawkner street, , carrara, 4121, sa, 19080128, 26, 08 59218945, 4935791, 3
rec-18-org,   harrison, ryan, 1, ulverstone street, , daylesford, 3028, sa, 19130311, 24, 03 10738267, 3900449, 2
