rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-1568-org,   brooklyn, mulvey, 197, fawsitt place, kiouwa, dromana, 3108, nsw, 19880723, 23, 03 68290890, 9890828, 0
rec-2989-dup-3, taynah, brain, 5, wattle street, , safety beach, 2202, vic, , 33, 03 99097006, 5869519, 8
rec-3675-dup-1, lucas, stubbs, 34, eleanorasstreet, , carnegie, 6324, , 19789127, 25, 04 88233905, 8000206, 8
rec-4731-org,   peta, monteleone, 38, caldwell street, , north bondi, 2137, vic, 19960930, 25, 04 62266319, 6783217, 2
rec-1896-dup-3, montana, nguyen, 70, captain cook crescent, , annanale, 2233, qld, 19030723, 21, 02 03685339, 1158253, 2
rec-2831-org,   jasmine, mason, 70, summerlin tauss place, rowethorpe, prospect, 2650, nsw, 19770316, 11, 04 32282365, 5297084, 6
rec-167-org,   clement, brain, 11, richards street, , woodcroft, 2795, nsw, , 23, 02 79753305, 3841973, 4
rec-128-dup-3, emiily, wallre, 17, churchill way, freonbrae, beenleigh, 2652, , 19980330, 34, 07 42584156, 9807193, 7
rec-2679-dup-1, emiil, golenda, 4, anstey street, , annandale, 5325, qld, 19891109, 32, 04 32114392, 7322339, 3
rec-3874-dup-3, , sohkanen, 90, magrath crescent, , midoand, 3119, , , , 04 79608444, 6121924, 6
rec-3059-dup-1, gabriel, white, 8, officer crescent, rosetta village, east melbourne, 2518, nsw, , 28, 04 33568828, 6816282, 7
rec-4419-org,   macy, zarkovic, 117, dexter street, , viveash, 3111, nsw, 19270521, 28, 02 28304982, 7059556, 2
rec-1669-dup-0, joshua, robson, 27, gair place, little forest, kirribilli, 4216, tas, 19870929, 11, 08 99741215, 1562483, 4
rec-3849-dup-0, , ryan, 12, holland street, rowethorpe, campsie, 2066, vic, 19111127, 23, 03 88054454, 3873789, 6
rec-4901-dup-2, lum, yeoman, 24, burraly court, , currimundi, 6510, sa, , , 03 54874331, 4616083, 6
rec-2429-org,   erin, morrison, 28, bungonia street, , wynnum west, 0812, vic, 19000612, 33, 04 95189150, 9466616, 2
rec-3437-dup-3, , kowald, 18, mayne street, lesma, st aghes, 3101, nsw, 19050622, 35, 08 01301448, 3146785, 0
rec-1828-org,   lachlan, prestia, 657, frencham place, hawkhurst cottage, melville, 2145, vic, 19980519, 30, 08 34183359, 5675628, 2
rec-847-dup-2, chelsea, matthews, 62, shandon place, , bundaberg, 4812, act, 19731119, , 02 73837400, 4950522, 8
rec-506-dup-0, alicia, ryan, 13, , , torquay, 2799, vic, 19400113, 23, 07 52852201, 7268633, 5
rec-3950-org,   rourke, curry, 18, oliver street, , avoca beach, 2447, nsw, 19470819, 29, 02 28527535, 5836376, 6
rec-3409-org,   joshua, nguyen, 12, rushbrook circuit, , north ward, 3556, nsw, 19591003, 37, 03 42229913, 4039070, 1
rec-4473-org,   sophie, rusling, 12, springbett street, harpers bridge, marshall, 6065, nsw, 19870815, 35, 03 74852236, 6216856, 6
rec-2589-dup-1, riley, , 11, wattle street, , ingham, 6027, qld, 19010617, 21, 03 02965610, 1567847, 4
rec-1581-org,   oliver, lohmann, 54, tahrone place, , stockton, 3579, qld, 19761227, 31, 03 11118288, 3089595, 2
rec-2644-dup-1, hunter, ryan, 367, madigan street, stonehenge, bonbeach, 6030, wa, 19220816, 24, 08 79388439, 3131271, 6
rec-811-org,   hugo, egan, 101, sprent street, grammar school, altona meadows, 4127, sa, 19391109, 33, 08 05321894, 4140674, 5
rec-1760-dup-1, seth, buhagiar, 81, gulmarrad street, vasey crescent, asquith, 3618, vic, 19801121, 32, 08 12845943, 4735630, 4
rec-1203-org,   jinni, nguyen, 21, australie close, , parmelia, 2560, vic, , , 07 74726495, 9103573, 7
rec-1083-dup-0, noble, ellorah, 73, plant road, billycreek farm, knoxfield, 3058, nsw, 19630330, 31, 03 88155438, 2920096, 7
rec-735-dup-0, joel, shelley, 24, badimarasqtreet, , ryde, 2024, qld, 19970428, 29, 07 98344799, 3099932, 9
rec-1715-org,   seamus, rawlings, 7, ross smith crescent, brentwood vlge, harbord, 4020, act, 19091015, 27, 03 28455835, 1254017, 9
rec-2877-org,   lachlan, corbin, 52, gallagher street, , prospect, 2580, sa, 19591217, 30, 02 08114572, 6450506, 3
rec-2111-dup-0, daniel, renfrey, 78, unaipon avenue, , vaucluse, 2650, sa, 19521126, 32, 04 41071866, 5878546, 2
rec-4299-dup-0, shanaye, clarke, 13, paul coe crecent, , cungulla, 2614, nsw, 19710309, 30, 07 52645348, 2824259, 0
rec-2240-dup-0, georgina, parremore, 7, weavell place, , budgewoi, 2640, , 19170165, 34, 08 64880921, 2408362, 7
rec-4610-dup-0, emiily, crouch, 2, bega place, , malvern, 2034, act, , 27, 04 01451659, 7546623, 4
rec-4946-dup-2, sarah, durovic, 13, fairweather circuit, , mcdowall, 7010, nsw, 19761001, 35, 08 84950032, 3752087, 1
rec-2537-org,   daniel, paterson, 11, fiveash street, , bonny hills, 5097, qld, 19241028, 23, 07 83446679, 3623377, 1
rec-1200-dup-1, will, mccarthy, 10, de little circuit, , hazelbrook, 4564, tas, 19731217, 36, 04 58186873, 7804741, 6
rec-4521-org,   connor, canavan, 1, , , chisholm, 3844, nsw, 19430630, 41, 07 72009139, 1577621, 0
rec-4969-org,   sam, dedovic, 317, kirkton street, , hawthorne, 3685, nsw, , 33, 02 02469504, 9928822, 5
rec-4861-org,   zara, yu, 68, bindel street, , alice springs, 6151, nsw, 19370329, , 04 29079141, 8821554, 8
rec-201-org,   fergus, shepherd, 27, spensley place, kalang, boondall, 4157, nsw, 19810602, , 02 35876012, 6665485, 6
rec-469-org,   alicia, lock, 105, turner place, murga ridge, salisbury east, 5089, qld, 19540506, 34, 04 93771512, 9175548, 4
rec-3001-org,   ruby, stefanocic, 2, bainton crescent, , applecross, 3215, nsw, 19200220, 11, 08 91469976, 8784391, 9
rec-8-dup-1, jade, pischettola, 10, letters street, , pimlico, 2040, sa, 19720136, 21, 03 77395377, 1230899, 9
rec-3752-org,   jonah, wilde, 6, ridley street, , port macquarie, 4169, nsw, 19740218, 30, 04 34232934, 2125138, 9
rec-3061-org,   tuscany, matson, 12, cameron street, mirani, woodgate, 2505, wa, 19441001, , 07 81702180, 6560203, 1
rec-302-dup-1, paris, , 211, dawes dyreet, , bundaberg, 4068, wa, 19691104, 11, 02 92122790, 6043337, 4
rec-2471-org,   emma, royle, 1, garrick street, , mosman, 5556, qld, 19780628, 29, 04 05252731, 2298404, 5
rec-4226-org,   madison, berry, 131, whistler place, , brockman, 2502, nsw, 19581120, 36, 04 08469457, 8595718, 5
rec-1062-dup-1, caitlin, hare, 18, phillip avenue, , winthrop, 3058, , 19720123, 35, 08 65476736, 6470374, 1
rec-3527-dup-1, danielle, cochrane, 8, cataract street, , mount ommaney, 4720, , 19070134, 34, 07 87687724, 5075667, 8
rec-251-org,   josephine, hannett, 5, yiman street, turramurra house, smithfield, 3073, wa, 19430513, 27, 08 30388659, 3285788, 4
rec-2683-org,   lara, white, 59, ashley drive, , evanston, 4019, , 19150520, , 04 94432172, 3596523, 5
rec-4880-org,   mikhayla, weate, 175, ballarat street, , gidgegannup, 2786, nsw, 19310220, 29, 07 40292009, 8758858, 6
rec-3504-org,   connor, carbone, 12, mellor circuit, , vermont, 5086, qld, 19490714, 23, 02 97642818, 1171321, 8
rec-2863-dup-1, jodran, salt, 6, gannon pl ace, , geelong east, 3181, , 19790823, 24, 08 72264343, 7473804, 3
rec-2837-dup-1, edem, wight, 543, molesworth street, , bayswater, 2099, vic, 19480807, 26, 07 88798734, 8587712, 6
rec-101-org,   zachary, green, 5, howell place, , leslie vale, 5280, nsw, 19721016, 32, 02 00091138, 6786115, 1
rec-2688-org,   amber, sytsma, 31, macrobertson street, , port augusta, 3082, vic, , 21, 04 50582491, 5070013, 9
rec-3452-org,   joshua, matthews, 70, , brentwood vlge, frankston, 4807, nsw, 19190628, 33, 04 70208443, 3519207, 5
rec-2030-dup-0, fynn, churches, 92, city walk arcade, st johns terrace, merricks beach, 2770, qld, 19081023, 26, 04 75128579, 8045965, 6
rec-1180-dup-2, abbey, bellchambers, 58, , , windang, 2147, nsw, , 33, , 2270630, 5
rec-3898-dup-0, christoher, westqrook, 52, arrietta close, rowethorpe, burpengary, 5171, vic, 19090905, 28, 07 53818344, 1778895, 3
rec-3816-dup-1, hyland, sam, 102, templeton street, , elwood, 2041, nsw, 19270615, 25, 07 31995748, 1046147, 6
rec-1710-dup-1, ruby, goncharov, 10, hughson place, the links, moss vale, 3185, nsw, 19009123, , 04 09835637, 9006208, 3
rec-3703-dup-0, nicholas, tu, 17, kelleway avenue, , surfers paradise, 2534, wa, 19180820, 28, 03 41673369, 3314494, 4
rec-1403-org,   zac, chandler, 36, grimshaw street, retirement village, potts point, 3496, nsw, 19230627, , 08 95445925, 1078237, 9
rec-4922-dup-0, charlize, whiet, 36, derrington crescent, , wallabi oint, 3075, vic, 19421208, 30, 02 05627794, 8316836, 3
rec-1239-dup-0, dominic, priets, 12, eggleston crescent, eden park, beechboro, 3194, tas, 19590116, 28, 08 94544458, 9112269, 9
rec-2689-dup-3, ashley, grosser, 8, beilby place, , beaumaris, 2340, wa, 19690328, 37, 07 72881589, 6354115, 3
rec-2309-dup-1, william, brock, 39, pandanus street, , 3240, crows nest, wa, 19800112, 31, 08 37989672, 2054838, 2
rec-3639-dup-1, george, mason, 14, outtrim avenue, , , 3931, qld, 19581216, 32, 04 18118701, 7166161, 9
rec-1300-org,   riley, campain, 43, bandt place, brentwood vlge, cranbourne west, 3199, vic, 19920404, 29, 04 49218743, 3036918, 5
rec-1169-org,   lacey, thorpe, 30, spring range road, , , 5280, vic, , 8, 08 39177073, 3151786, 8
rec-675-dup-1, jenna, white, 136, , the tops, fairlight, 2537, vic, 19450107, 25, 04 45701858, 6586425, 1
rec-4992-dup-1, , white, 10, chirnsidejcircuit, , monarto south, 4171, qld, 19842204, 20, 03 49148555, 7421037, 9
rec-80-dup-2, lily, rysn, 15, tom roberts avenue, maverick, lindfield, 2750, vic, 19920111, , 07 74661451, 4802100, 7
rec-60-dup-2, faith, matthews, 72, baracchi crescent, ravensbrook, eaglchawk, 5016, vic, 19970406, 26, 03 88020614, 3331084, 4
rec-973-org,   barnaby, ryan, 127, elliott street, euroka, kellyville, 3156, , 19180920, 38, 02 11191882, 3007970, 9
rec-1796-org,   jenna, rees, 3, broadbent street, , prospect, 4000, qld, 19760527, 21, 03 75255007, 2387218, 8
rec-4249-dup-0, jacv, reid, 37, notting court, , woodend, 3235, sa, , 21, 02 02177851, 1545477, 6
rec-3405-org,   joshua, tiller, , habgood place, the mews royal hotel bldg, klemzig, 3910, vic, 19230610, 33, 08 17087963, 4464850, 2
rec-1601-dup-3, erin, grrem, 46, weddin circuit, , oyster bay, 2518, nsw, 19780604, 30, 07 69114471, 7630183, 1
rec-1388-org,   lucy, hare, 7, leighton street, , glenmore park, 3971, nt, 19930818, , 03 42074957, 6640068, 8
rec-1396-dup-1, kira, saenz, 48, skardon street, , ascot vale, 3136, nsw, 19406423, , 02 22347183, 2415599, 7
rec-3353-dup-0, coey, murto, 95, blackham street, , wyoming, 6530, nsw, 19040303, 28, 03 05351396, 1118297, 9
rec-549-org,   charlotte, hallatt, 8, holt place, , mitcham, 2112, nsw, 19450829, 11, 03 55164234, 6540534, 5
rec-1283-org,   bianca, clarke, 16, kneeshaw street, huntington, branxton, 3083, qld, 19020822, 34, 04 76700821, 6892379, 6
rec-2414-org,   rebecca, helliar, 23, trumble street, bourne gardns, riverwood, 2204, vic, 19910505, 27, 07 83340111, 4119442, 2
rec-4332-dup-1, macey, leung, 47, haly pmmlace, rivoli, devonport, 7250, , 19701008, , 03 66023398, 1646393, 8
rec-906-org,   harry, webb, 93, armstrong crescent, , dapto, 2780, nsw, 19661213, , 08 30804352, 7972521, 5
rec-2214-dup-1, isabella, leslie, 2, massey street, , arana hills, 2844, nsw, 19191009, 31, 03 09343959, 1542152, 5
rec-3627-dup-0, daniel, haeuser, 31, liffey circuit, , st albans, 7256, vic, 19440802, , 02 10587715, 8974152, 9
rec-925-org,   , webb, 46, leighton street, , bacchus marsh, 6060, , 19520720, 33, 04 07576269, 9181334, 5
rec-3225-dup-0, tommy, daehn, 18, hemmings crescent, , winston hills, 3155, as, , 30, 02 04299494, 8284300, 9
rec-3591-org,   kye, tiffin, 23, city walk, , maiden gully, 3116, vic, 19400506, 31, 03 85676288, 5928370, 0
rec-249-org,   james, hauser, 7, bisdee street, , findon, 4503, nsw, 19200704, 29, 04 16331629, 1123916, 8
rec-4911-org,   jaime, bowerman, 4, harricks crescent, , wynnum west, 4510, nsw, 19900207, 25, 04 30984788, 1537001, 3
rec-1963-org,   anari, wang, 10, hillebrand street, , marleston, 7310, , 19240322, 27, 07 30422319, 9669469, 1
rec-138-dup-1, alicia, garnia, 13, isis close, , bridgeman downs, 3094, qld, 19220224, , 07 57197045, 7671235, 8
rec-4081-dup-1, james, zalton, 24, gillespie street, , revesby, 4605, vic, 19811226, 38, 02 31119554, 7126521, 8
rec-2548-org,   logan, gayda, 15, o'sullivan street, rooganore, emerald, 4555, vic, 19130719, 35, 03 06177740, 2901149, 9
rec-4299-dup-2, shanaye, clarje, 13, paul coe crescent, , cungulla, 2614, nsw, 19710309, 32, 07 52645348, 2824259, 0
rec-1468-org,   dylan, clarke, 23, noongale court, , samsonvale, 6722, nsw, 19061103, 10, 02 26305040, 2584341, 7
rec-1094-org,   , edson, 47, acraman place, , south perth, 2161, nsw, 19931026, 9, , 2707470, 7
rec-4374-dup-1, jacquekine, aggarwal, 41, sherbrooke street, tureevale, yarragon, 2653, nsw, 19970502, , 02 64488919, 9031596, 2
rec-1166-dup-1, , haar, 75, groom street, ardlui, frenchs forest, 2153, sa, 19041118, 27, 04 84031190, 5892312, 4
rec-658-dup-1, zachary, shephterd, 6, mceachern crescent, nairn lodge, melville, 3175, , 19700909, , 04 07307140, 3307045, 5
rec-776-org,   sam, george, 3, gleadow street, , cabramatta, 3196, tas, 19770618, 28, 02 11185156, 2583577, 7
rec-4427-org,   mikaela, reid, 30, kinleyside crescent, , carrick, 6164, nsw, 19940616, 31, 07 17934601, 6815914, 9
rec-70-dup-2, pulia, longhurst, 2, summerland circuit, , greenbushes, 2705, vic, 19150914, 35, 02 11093063, 6448114, 7
rec-1728-org,   maya, corbin, 67, bindon place, , coffs harbour, 6714, , 19580811, 29, 04 62230947, 6529399, 7
