rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-2544-org,   ruby, stigant, 142, allan street, eventide homes, tweed heads south, 3350, , 19520707, , 04 44507895, 2629656, 2
rec-672-org,   april, kokkotos, 95, feint street, homestead caravan park, kirribilli, 2630, , , 28, 04 49934213, 5751775, 0
rec-1326-dup-0, ryan, rhekd, 899, , , punchbowl, 3130, nsw, 19770604, 38, 07 38565575, 6969480, 2
rec-6564-dup-0, neneh, stephenson, 8, wittenoom cmrescent, , glenwood, 0810, qld, , 25, 02 48303246, 4522793, 9
rec-8824-org,   ajay, guelzow, 24, richter close, , nowendoc, 4507, qld, 19990509, 31, 07 41240363, 7397450, 4
rec-4364-org,   caitlin, maytum, 39, darcy close, ascotvalley, mcdowall, 2026, nsw, 19681124, 28, 04 44960447, 5546182, 5
rec-2199-dup-3, marcus, cochrane, 148, tom roberts avenue, , bundaberg, 2041, vic, 19300702, , 07 43375243, 6284150, 0
rec-9521-dup-2, talia, lowe, , cavill elose, , evandale, 3355, vic, 19562005, , 04 26128002, 1983118, 9
rec-7802-org,   benjamin, morden, 15, tangari street, , largs, 3141, , 19680724, 32, 02 33824584, 2346727, 3
rec-3944-org,   kieren, white, 125, nulsen circuit, civic centre, collombatti, 5114, wa, 19940726, , 08 36279396, 8843191, 8
rec-7476-org,   thomas, kyriacou, 6, summerville crescent, , north st ives, 2560, vic, 19731228, 31, 04 40198209, 9253052, 8
rec-1490-dup-1, rosie, mac neill, 53, strickland crescent, , campbellltown, 2820, vic, 19160111, 30, 08 77342535, 8682605, 8
rec-3190-org,   thomas, dixon, 28, lipscomb place, kindberg, ardeer, 3153, nsw, 19461202, 34, 04 14523976, 4233868, 3
rec-355-org,   marianne, daish, 82, copland drive, evana, dromana, 3029, wa, 19470907, 34, 08 98761839, 2925131, 6
rec-8547-dup-1, ossie, , 13, woodfull loop, , rye, 5158, vic, 19971035, 40, 07 63494467, 3524261, 8
rec-9476-dup-3, charlie, tilakattane, 9, rischbiethtcrescent, , hayborough, 5163, vic, 19020523, 26, 08 05563454, 6007204, 1
rec-3535-org,   thomas, bellchambers, 4, macrossan crescent, rowethorpe, pindimar, 2428, vic, 19801109, 37, 03 41959030, 9781711, 4
rec-8506-org,   blake, rankine, 42, eldershaw place, , eagle heights, 6153, nsw, 19011030, , 08 29286883, 7543546, 3
rec-5815-dup-2, talia, clargke, 9, neumayer street, , warburton east, 2611, qld, 19770527, 36, 03 47497336, 6121599, 1
rec-9332-org,   dale, mcelwee, 222, oliver street, gowrie, ulverstone, , vic, 19710705, 35, 08 56943594, 8949357, 7
rec-6611-org,   isabella, morrison, 157, burvill place, ulinga, yarrawonga, 2350, qld, , 7, 04 44023400, 2048815, 9
rec-1420-org,   georgia, donaldson, 46, monaro crescent, acton park, terrigal, 4558, vic, 19630731, 23, , 1475435, 4
rec-7884-dup-3, angus, grauxs, 61, thesiger court, , windsor, 3334, qld, 19311217, 29, 08 41826095, 5587350, 0
rec-1004-dup-1, jayme, russin, 162, jamieson crescent, jandera south, hincnehbroo, 4037, vd, 19500831, 22, 04 32094808, 5897300, 0
rec-4664-dup-0, , myles, 70, jennings street, hundred wokurna, casin, 3909, , 19045911, 28, 08 44551148, 6677628, 4
rec-5685-dup-2, edwcard, needham, 325, biffin street, kangarogo ngrnd, , 2213, , 19985330, , 04 72019009, 5155361, 4
rec-767-org,   matisse, buder, 9, sparkes close, , artarmon, 2222, sa, 19190409, 38, 03 81237281, 3383949, 5
rec-5024-org,   kade, verco, 12, , airforce memorial estate, mosman, 3082, nsw, 19910111, , 07 73210440, 3224793, 9
rec-2602-dup-3, destynii, affprd, 9, , , bidwill, , qld, 19811214, 26, 08 27809732, 5818976, 0
rec-535-org,   daniel, shortman, 9, wattle street, pinecroft, moorabbin, 4505, , 19131123, , 08 40920375, 1650172, 5
rec-126-dup-2, micah, bishop, 8, kent srret, , moss vale, 2305, nss, 19691104, 33, 04 60801564, 3390301, 0
rec-3494-dup-0, hayden, lesne, 2, paul coe crescent, , glendale, 5067, vkc, 19081201, 23, 08 53278393, 9953792, 6
rec-1053-dup-0, emma, rese, 3, jondolfplace, , albany creek, 6062, nse, , 34, 03 28773700, 9793487, 4
rec-3809-org,   samuel, reid, 76, edwards street, villa 18, greensborough, 2194, wa, 19440111, 29, 03 96854332, 5013825, 2
rec-9389-dup-1, ashleigh, clarke, 10, gairdner circuit, , raby, 2714, nsw, 19350823, , 07 60557907, 8912209, 5
rec-6889-dup-1, jeremy, mezicq, 6, nicholas street, , mount eliza, 3014, wa, 19541121, 35, 07 45782204, 5932997, 9
rec-8631-dup-1, lic, white, 2, mills place, , bayswatyer, 3192, nsw, 19011231, 30, , 5325321, 2
rec-7768-org,   jade, rawlings, 6, antill street, alawah, yarrawonga, 4075, vic, 19790701, 20, 04 01142700, 2611416, 6
rec-3942-org,   lara, browne, 8, zeitz court, rosetta village, north bondi, 2550, wa, 19011219, 30, 03 29837915, 9063504, 6
rec-2425-org,   benjamin, bloomfield, 409, styles place, , smithfield plains, 3204, vic, 19810727, 29, 04 02362724, 6482835, 0
rec-4468-org,   andrew, turtur, 4, phillimore place, , lennox head, 2250, nsw, 19890512, , 07 01802799, 2201483, 9
rec-9762-org,   yasmin, tiller, 22, furey street, belmont park belted galloway stud, emerald, 6108, nsw, 19500816, 25, 02 86833446, 3970117, 8
rec-3518-dup-1, aurora, elphfck, 76, blackwood terrace, pine hill, torquay, 2526, vic, 19890309, 31, 03 90062025, 3533626, 3
rec-5786-org,   karli, clarke, 66, keith street, , spotswood, 3175, sa, 19040627, 40, , 2782417, 4
rec-2375-org,   ellorah, hodgens, 7, maygar street, marian grv retirement vlge, safety bay, 2038, wa, 19360929, 37, 02 02463382, 1849637, 9
rec-4897-dup-1, alexander, wabg, 1, hetherington circuit, , branxton, 4825, vic, 19740404, 26, 08 77645053, 8238892, 5
